Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
City Of Port Neches Police Dept,TX,12,13266,33,0,2,2,29,267,81,176,10,248.8,0,15.1,15.1,218.6,2012.7,610.6,1326.7,75.4
Portland Police Dept,TX,12,15306,15,1,4,6,4,494,56,424,14,98,6.5,26.1,39.2,26.1,3227.5,365.9,2770.2,91.5
Prosper,TX,12,10037,10,0,0,1,9,196,95,98,3,99.6,0,0,10,89.7,1952.8,946.5,976.4,29.9
Raymondville Police Dept,TX,12,11428,78,0,5,3,70,398,113,281,4,682.5,0,43.8,26.3,612.5,3482.7,988.8,2458.9,35
Red Oak Police Dept,TX,12,11160,11,0,0,3,8,283,61,205,17,98.6,0,0,26.9,71.7,2535.8,546.6,1836.9,152.3
Richardson Police Dept,TX,12,103266,171,2,27,80,62,3004,698,2175,131,165.6,1.9,26.1,77.5,60,2909,675.9,2106.2,126.9
Richmond Police Dept,TX,12,12248,45,1,5,7,32,214,71,129,14,367.4,8.2,40.8,57.2,261.3,1747.2,579.7,1053.2,114.3
Rio Grande Police Dept,TX,12,14175,24,0,0,6,18,451,129,294,28,169.3,0,0,42.3,127,3181.7,910.1,2074.1,197.5
Robinson Police Dept,TX,12,10840,9,1,1,2,5,191,24,159,8,83,9.2,9.2,18.5,46.1,1762,221.4,1466.8,73.8
Robstown Police Dept,TX,12,11764,21,0,1,8,12,425,119,289,17,178.5,0,8.5,68,102,3612.7,1011.6,2456.6,144.5
Rockwall Police Dept,TX,12,39613,42,1,2,4,35,858,127,686,45,106,2.5,5,10.1,88.4,2166,320.6,1731.8,113.6
Roma Police Dept,TX,12,10034,17,0,4,0,13,151,55,82,14,169.4,0,39.9,0,129.6,1504.9,548.1,817.2,139.5
Rosenberg Police Dept,TX,12,32230,81,0,15,19,47,638,143,468,27,251.3,0,46.5,59,145.8,1979.5,443.7,1452.1,83.8
Round Rock Police Dept,TX,12,106232,141,0,32,45,64,2636,336,2222,78,132.7,0,30.1,42.4,60.2,2481.4,316.3,2091.6,73.4
Rowlett Police Dept,TX,12,58324,71,0,17,9,45,1007,221,742,44,121.7,0,29.1,15.4,77.2,1726.6,378.9,1272.2,75.4
Rusk County Sheriff Department,TX,12,,102,0,6,8,88,689,254,388,47,,,,,,,,,
Sachse City Police Dept,TX,12,21172,23,1,8,2,12,198,36,152,10,108.6,4.7,37.8,9.4,56.7,935.2,170,717.9,47.2
Saginaw Police Dept,TX,12,20561,35,0,3,8,24,510,80,399,31,170.2,0,14.6,38.9,116.7,2480.4,389.1,1940.6,150.8
San Angelo Police Dept,TX,12,95960,269,4,43,35,187,2994,654,2220,120,280.3,4.2,44.8,36.5,194.9,3120.1,681.5,2313.5,125.1
San Antonio Police Dept,TX,12,1380123,6943,89,549,1864,4441,82668,15668,60633,6367,503.1,6.4,39.8,135.1,321.8,5989.9,1135.3,4393.3,461.3
San Benito Police Dept,TX,12,25099,71,1,0,19,51,1328,363,935,30,282.9,4,0,75.7,203.2,5291,1446.3,3725.2,119.5
San Jacinto County Sheriff Department,TX,12,,66,0,1,8,57,718,274,355,89,,,,,,,,,
San Juan Police Dept,TX,12,35394,201,2,31,16,152,1224,219,938,67,567.9,5.7,87.6,45.2,429.5,3458.2,618.7,2650.2,189.3
San Marcos Police Dept,TX,12,47384,164,1,27,28,108,1557,253,1197,107,346.1,2.1,57,59.1,227.9,3285.9,533.9,2526.2,225.8
Santa Fe City Police Dept,TX,12,12597,22,1,3,3,15,243,84,148,11,174.6,7.9,23.8,23.8,119.1,1929,666.8,1174.9,87.3
Schertz Police Dept,TX,12,32964,64,0,8,4,52,642,100,504,38,194.2,0,24.3,12.1,157.7,1947.6,303.4,1528.9,115.3
Seabrook Police Dept,TX,12,12395,8,0,0,5,3,207,41,150,16,64.5,0,0,40.3,24.2,1670,330.8,1210.2,129.1
