Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Gladstone Police Dept,OR,12,11709,28,0,3,5,20,364,40,292,32,239.1,0,25.6,42.7,170.8,3108.7,341.6,2493.8,273.3
Grants Pass Dept Of Public Safety,OR,12,34892,75,1,7,24,43,1768,317,1355,96,214.9,2.9,20.1,68.8,123.2,5067.1,908.5,3883.4,275.1
Gresham Police Dept,OR,12,108202,487,4,33,207,243,4858,886,3230,742,450.1,3.7,30.5,191.3,224.6,4489.8,818.8,2985.2,685.8
Hermiston City Police Dept,OR,12,17059,24,0,4,9,11,551,118,378,55,140.7,0,23.4,52.8,64.5,3230,691.7,2215.8,322.4
Hillsboro City Police Dept,OR,12,94119,180,2,34,52,92,2154,323,1716,115,191.2,2.1,36.1,55.2,97.7,2288.6,343.2,1823.2,122.2
Jackson County Sheriff Department,OR,12,,167,2,14,9,142,1304,313,917,74,,,,,,,,,
Josephine County Sheriff Department,OR,12,,71,0,1,6,64,825,322,411,92,,,,,,,,,
Keizer City Police Dept,OR,12,37160,65,0,11,9,45,854,121,680,53,174.9,0,29.6,24.2,121.1,2298.2,325.6,1829.9,142.6
Klamath County Sheriff Office,OR,12,,71,2,12,11,46,386,133,183,70,,,,,,,,,
Klamas Falls Police Dept,OR,12,20968,79,0,10,27,42,1017,185,762,70,376.8,0,47.7,128.8,200.3,4850.2,882.3,3634.1,333.8
La Grande Police Dept,OR,12,13195,22,0,6,2,14,502,122,368,12,166.7,0,45.5,15.2,106.1,3804.5,924.6,2788.9,90.9
Lake Oswego Police Dept,OR,12,37309,35,0,6,10,19,652,145,478,29,93.8,0,16.1,26.8,50.9,1747.6,388.6,1281.2,77.7
Lane County Sheriff Office,OR,12,,203,7,22,21,153,1105,436,558,111,,,,,,,,,
Lebanon Police Dept,OR,12,15823,38,0,3,8,27,728,105,607,16,240.2,0,19,50.6,170.6,4600.9,663.6,3836.2,101.1
Linn County Sheriff Department,OR,12,,35,0,10,9,16,1135,308,736,91,,,,,,,,,
Marion County Sheriff Office,OR,12,,70,2,17,18,33,2448,511,1636,301,,,,,,,,,
Mcminnville Police Dept,OR,12,32681,64,0,9,17,38,928,178,707,43,195.8,0,27.5,52,116.3,2839.6,544.7,2163.3,131.6
Medford City Police Dept,OR,12,76037,425,2,39,64,320,4418,477,3764,177,558.9,2.6,51.3,84.2,420.8,5810.3,627.3,4950.2,232.8
Milwaukie Police Dept,OR,12,20664,25,0,3,6,16,533,115,377,41,121,0,14.5,29,77.4,2579.4,556.5,1824.4,198.4
Newberg Police Dept,OR,12,25613,23,3,4,2,14,421,119,285,17,89.8,11.7,15.6,7.8,54.7,1643.7,464.6,1112.7,66.4
Newport City Police Dept,OR,12,10039,46,0,9,6,31,489,93,382,14,458.2,0,89.7,59.8,308.8,4871,926.4,3805.2,139.5
Ontario Police Dept,OR,12,11348,82,0,12,5,65,856,138,698,20,722.6,0,105.7,44.1,572.8,7543.2,1216.1,6150.9,176.2
Oregon City Police Dept,OR,12,32440,46,1,14,12,19,891,117,695,79,141.8,3.1,43.2,37,58.6,2746.6,360.7,2142.4,243.5
Pendleton Police Dept,OR,12,16903,38,1,2,7,28,845,149,646,50,224.8,5.9,11.8,41.4,165.7,4999.1,881.5,3821.8,295.8
Portland Police Dept,OR,12,598037,3093,20,231,950,1892,30454,4471,22398,3585,517.2,3.3,38.6,158.9,316.4,5092.3,747.6,3745.3,599.5
Redmond Police Dept,OR,12,26835,92,0,11,14,67,1266,195,1019,52,342.8,0,41,52.2,249.7,4717.7,726.7,3797.3,193.8
Roseburg Police Dept,OR,12,21305,53,1,7,23,22,1130,141,941,48,248.8,4.7,32.9,108,103.3,5303.9,661.8,4416.8,225.3
Salem Police Dept,OR,12,157353,564,7,40,138,379,6731,1043,4958,730,358.4,4.4,25.4,87.7,240.9,4277.6,662.8,3150.9,463.9
Sherwood Police Dept,OR,12,18699,11,0,6,2,3,244,26,214,4,58.8,0,32.1,10.7,16,1304.9,139,1144.4,21.4
Springfield Police Dept,OR,12,60119,104,0,17,30,57,3052,413,2412,227,173,0,28.3,49.9,94.8,5076.6,687,4012,377.6
St. Helens Police Dept,OR,12,12997,12,0,6,2,4,389,54,318,17,92.3,0,46.2,15.4,30.8,2993,415.5,2446.7,130.8
Dalles Police Dept,OR,12,13728,23,2,3,11,7,680,109,537,34,167.5,14.6,21.9,80.1,51,4953.4,794,3911.7,247.7
Tigard Police Dept,OR,12,49359,67,1,9,36,21,1717,218,1448,51,135.7,2,18.2,72.9,42.5,3478.6,441.7,2933.6,103.3
Troutdale Police Dept,OR,12,16359,30,0,9,11,10,562,87,424,51,183.4,0,55,67.2,61.1,3435.4,531.8,2591.8,311.8
Tualatin City Police Dept,OR,12,26747,29,1,3,10,15,886,128,722,36,108.4,3.7,11.2,37.4,56.1,3312.5,478.6,2699.4,134.6
Washington County Sheriff Office,OR,12,,317,6,75,63,173,2669,556,1946,167,,,,,,,,,
West Linn Police Dept,OR,12,25572,5,0,2,2,1,249,34,211,4,19.6,0,7.8,7.8,3.9,973.7,133,825.1,15.6
Woodburn Police Dept,OR,12,24531,73,1,6,24,42,833,142,618,73,297.6,4.1,24.5,97.8,171.2,3395.7,578.9,2519.3,297.6
Yamhill County Sheriff Office,OR,12,,32,1,9,3,19,679,236,406,37,,,,,,,,,
Ada Police Dept,OK,12,17046,167,2,18,9,138,886,206,630,50,979.7,11.7,105.6,52.8,809.6,5197.7,1208.5,3695.9,293.3
Altus City Police Dept,OK,12,19936,63,1,8,10,44,679,209,445,25,316,5,40.1,50.2,220.7,3405.9,1048.4,2232.1,125.4
Ardmore Police Dept,OK,12,24704,347,2,32,34,279,1458,313,1083,62,1404.6,8.1,129.5,137.6,1129.4,5901.9,1267,4383.9,251
Bartlesville Police Dept,OK,12,36321,99,1,8,16,74,1066,274,735,57,272.6,2.8,22,44.1,203.7,2934.9,754.4,2023.6,156.9
Bethany Police Dept,OK,12,19525,71,0,6,21,44,719,187,479,53,363.6,0,30.7,107.6,225.4,3682.5,957.7,2453.3,271.4
Bixby Police Dept,OK,8,21267,27,0,5,4,18,218,91,113,14,,,,,,,,,
Broken Arrow Police Dept,OK,12,100688,155,1,33,39,82,2187,374,1698,115,153.9,1,32.8,38.7,81.4,2172.1,371.4,1686.4,114.2
Cherokee County Sheriff Office,OK,12,,42,0,2,1,39,230,67,134,29,,,,,,,,,
Chickasha Police Dept,OK,12,16310,116,0,16,12,88,923,264,601,58,711.2,0,98.1,73.6,539.5,5659.1,1618.6,3684.9,355.6
Choctaw Police Dept,OK,12,11434,14,1,2,0,11,211,61,135,15,122.4,8.7,17.5,0,96.2,1845.4,533.5,1180.7,131.2
Claremore Police Dept,OK,12,18860,50,0,10,9,31,500,99,378,23,265.1,0,53,47.7,164.4,2651.1,524.9,2004.2,122
Comanche County Sheriff Office,OK,12,,38,0,4,1,33,410,139,242,29,,,,,,,,,
Creek County Sheriff Department,OK,12,,56,3,5,5,43,375,133,203,39,,,,,,,,,
Del City Police Dept,OK,12,21880,142,3,14,29,96,1158,346,718,94,649,13.7,64,132.5,438.8,5292.5,1581.4,3281.5,429.6
Delaware County Sheriff Office,OK,12,,52,1,5,0,46,380,137,197,46,,,,,,,,,
Duncan Police Dept,OK,12,23652,100,2,13,17,68,1054,285,724,45,422.8,8.5,55,71.9,287.5,4456.3,1205,3061.1,190.3
Durant Police Dept,OK,12,16196,163,0,11,9,143,863,194,635,34,1006.4,0,67.9,55.6,882.9,5328.5,1197.8,3920.7,209.9
Edmond Police Dept,OK,12,83473,85,2,12,20,51,1680,303,1330,47,101.8,2.4,14.4,24,61.1,2012.6,363,1593.3,56.3
El Reno Police Dept,OK,12,17374,47,0,11,5,31,521,151,341,29,270.5,0,63.3,28.8,178.4,2998.7,869.1,1962.7,166.9
Elk City Police Dept,OK,12,11861,22,0,2,0,20,331,73,233,25,185.5,0,16.9,0,168.6,2790.7,615.5,1964.4,210.8
Enid Police Dept,OK,12,49755,164,2,28,21,113,1978,486,1402,90,329.6,4,56.3,42.2,227.1,3975.5,976.8,2817.8,180.9
Glenpool Police Dept,OK,12,11005,86,1,10,6,69,247,54,188,5,781.5,9.1,90.9,54.5,627,2244.4,490.7,1708.3,45.4
Grady County Sheriff Department,OK,12,,53,1,4,1,47,239,108,118,13,,,,,,,,,
Guthrie Police Dept,OK,12,10409,16,0,3,2,11,314,59,237,18,153.7,0,28.8,19.2,105.7,3016.6,566.8,2276.9,172.9
Guymon Police Dept,OK,12,11896,29,0,4,6,19,319,61,242,16,243.8,0,33.6,50.4,159.7,2681.6,512.8,2034.3,134.5
Jenks Police Dept,OK,12,17235,31,1,1,4,25,276,52,213,11,179.9,5.8,5.8,23.2,145.1,1601.4,301.7,1235.9,63.8
Lawton Police Dept,OK,12,98781,920,13,38,173,696,5208,1560,3349,299,931.4,13.2,38.5,175.1,704.6,5272.3,1579.3,3390.3,302.7
Le Flore County Sheriff Department,OK,12,,49,1,1,0,47,367,163,179,25,,,,,,,,,
Logan County Sheriff Department,OK,12,,23,0,1,1,21,403,157,218,28,,,,,,,,,
Mayes County Sheriff Office,OK,10,,20,2,0,1,17,199,70,112,17,,,,,,,,,
Mcalester Police Dept,OK,12,18419,57,0,12,12,33,949,252,647,50,309.5,0,65.2,65.2,179.2,5152.3,1368.2,3512.7,271.5
Miami Police Dept,OK,10,13660,54,0,1,3,50,511,101,398,12,,,,,,,,,
Midwest City Police Dept,OK,12,55768,295,6,36,46,207,2982,786,1956,240,529,10.8,64.6,82.5,371.2,5347.2,1409.4,3507.4,430.4
Moore Police Dept,OK,12,56661,77,1,5,20,51,2383,496,1701,186,135.9,1.8,8.8,35.3,90,4205.7,875.4,3002.1,328.3
Muskogee Police Dept,OK,12,39472,579,1,23,36,519,1862,690,1078,94,1466.9,2.5,58.3,91.2,1314.9,4717.3,1748.1,2731,238.1
Mustang Police Dept,OK,12,18113,29,0,3,4,22,449,92,340,17,160.1,0,16.6,22.1,121.5,2478.9,507.9,1877.1,93.9
Norman Police Dept,OK,12,113969,173,1,52,54,66,3050,629,2252,169,151.8,0.9,45.6,47.4,57.9,2676.2,551.9,1976,148.3
Oklahoma City Police Dept,OK,12,595607,5474,85,389,1209,3791,35390,9854,21162,4374,919.1,14.3,65.3,203,636.5,5941.8,1654.4,3553,734.4
Okmulgee Police Dept,OK,12,12359,52,1,0,5,46,468,94,338,36,420.7,8.1,0,40.5,372.2,3786.7,760.6,2734.8,291.3
Osage County Sheriff Office,OK,12,,31,0,5,3,23,400,141,221,38,,,,,,,,,
Owasso Police Dept,OK,12,30038,56,0,9,5,42,768,166,575,27,186.4,0,30,16.6,139.8,2556.8,552.6,1914.2,89.9
Ponca City Police Dept,OK,12,25323,116,0,20,22,74,1151,189,915,47,458.1,0,79,86.9,292.2,4545.3,746.4,3613.3,185.6
Pottawatomie County Sheriff Department,OK,12,,30,2,2,0,26,619,233,307,79,,,,,,,,,
Rogers County Sheriff Office,OK,12,,60,0,18,1,41,401,134,211,56,,,,,,,,,
Sand Springs Police Dept,OK,12,19258,35,0,5,11,19,784,107,623,54,181.7,0,26,57.1,98.7,4071,555.6,3235,280.4
Sapulpa Police Dept,OK,12,20818,49,0,10,7,32,496,113,344,39,235.4,0,48,33.6,153.7,2382.6,542.8,1652.4,187.3
Sequoyah County Sheriff Department,OK,12,,42,0,4,0,38,335,128,192,15,,,,,,,,,
Shawnee Police Dept,OK,12,30398,287,2,24,21,240,1720,381,1196,143,944.1,6.6,79,69.1,789.5,5658.3,1253.4,3934.5,470.4
Stillwater Police Dept,OK,12,46331,121,1,24,21,75,1471,260,1154,57,261.2,2.2,51.8,45.3,161.9,3175,561.2,2490.8,123
Tahlequah Police Dept,OK,12,16120,47,0,4,4,39,690,182,483,25,291.6,0,24.8,24.8,241.9,4280.4,1129,2996.3,155.1
Tulsa County Sheriff Office,OK,12,,171,1,9,11,150,662,272,328,62,,,,,,,,,
Tulsa Police Dept,OK,12,398904,3949,42,316,1062,2529,20807,6235,12162,2410,990,10.5,79.2,266.2,634,5216,1563,3048.9,604.2
Wagoner County Sheriff Office,OK,12,,47,2,5,2,38,444,170,244,30,,,,,,,,,
Warr Acres Police Dept,OK,12,10301,71,1,4,23,43,507,122,322,63,689.3,9.7,38.8,223.3,417.4,4921.9,1184.4,3125.9,611.6
Weatherford Police Dept,OK,12,11006,44,0,7,2,35,256,65,170,21,399.8,0,63.6,18.2,318,2326,590.6,1544.6,190.8
Woodward Police Dept,OK,11,12017,44,0,5,0,39,378,93,249,36,,,,,,,,,
Yukon Police Dept,OK,12,23635,33,0,3,0,30,590,103,458,29,139.6,0,12.7,0,126.9,2496.3,435.8,1937.8,122.7
Akron City Police Dept,OH,12,198390,1759,24,167,577,991,10034,3429,5884,721,886.6,12.1,84.2,290.8,499.5,5057.7,1728.4,2965.9,363.4
Alliance Police Dept,OH,12,22293,96,2,17,31,46,1080,279,777,24,430.6,9,76.3,139.1,206.3,4844.6,1251.5,3485.4,107.7
American Twp Police Dept,OH,10,12444,4,0,0,1,3,73,8,62,3,,,,,,,,,
Amherst Police Dept,OH,12,12030,4,0,0,3,1,200,31,159,10,33.3,0,0,24.9,8.3,1662.5,257.7,1321.7,83.1
Ashland County Sheriff Office,OH,12,,12,0,6,0,6,434,195,230,9,,,,,,,,,
Ashland Police Dept,OH,12,20366,19,0,9,3,7,599,95,497,7,93.3,0,44.2,14.7,34.4,2941.2,466.5,2440.3,34.4
Ashtabula County Sheriff Office,OH,12,,65,2,10,10,43,1346,369,921,56,,,,,,,,,
Athens City Police Dept,OH,12,23834,15,0,1,8,6,454,89,359,6,62.9,0,4.2,33.6,25.2,1904.8,373.4,1506.3,25.2
Athens County Sheriff Office,OH,12,,19,0,5,6,8,641,206,419,16,,,,,,,,,
Aurora Police Dept,OH,12,15567,7,0,2,2,3,174,26,146,2,45,0,12.8,12.8,19.3,1117.7,167,937.9,12.8
Austintown Police Dept,OH,12,36478,63,0,6,19,38,1304,344,903,57,172.7,0,16.4,52.1,104.2,3574.8,943,2475.5,156.3
Barberton Police Dept,OH,12,26453,55,0,14,23,18,1114,190,867,57,207.9,0,52.9,86.9,68,4211.2,718.3,3277.5,215.5
Bay Village Police Dept,OH,5,15527,0,0,0,0,0,1,0,0,1,,,,,,,,,
Beachwood Police Dept,OH,12,11866,32,0,1,2,29,566,13,547,6,269.7,0,8.4,16.9,244.4,4769.9,109.6,4609.8,50.6
Beavercreek Police Dept,OH,12,45563,25,0,6,13,6,1073,114,945,14,54.9,0,13.2,28.5,13.2,2355,250.2,2074.1,30.7
Bedford Police Dept,OH,12,12971,29,0,1,14,14,567,42,490,35,223.6,0,7.7,107.9,107.9,4371.3,323.8,3777.7,269.8
Bedford Heights,OH,12,10665,41,0,4,18,19,244,49,132,63,384.4,0,37.5,168.8,178.2,2287.9,459.4,1237.7,590.7
Bellefontaine Police Dept,OH,12,13321,33,0,12,6,15,700,131,562,7,247.7,0,90.1,45,112.6,5254.9,983.4,4218.9,52.5
Belmont County Sheriff Office,OH,12,,21,0,4,3,14,642,188,418,36,,,,,,,,,
Berea Police Dept,OH,12,18959,7,0,0,1,6,328,57,259,12,36.9,0,0,5.3,31.6,1730,300.6,1366.1,63.3
Bexley Police Dept,OH,12,13220,14,0,1,11,2,381,121,253,7,105.9,0,7.6,83.2,15.1,2882,915.3,1913.8,53
Blue Ash Police Dept,OH,12,12082,7,0,0,3,4,365,47,310,8,57.9,0,0,24.8,33.1,3021,389,2565.8,66.2
Boardman Twp Police Dept,OH,12,40608,43,1,6,31,5,1698,273,1371,54,105.9,2.5,14.8,76.3,12.3,4181.4,672.3,3376.2,133
Bowling Green Police Dept,OH,12,30219,70,1,16,14,39,840,109,716,15,231.6,3.3,52.9,46.3,129.1,2779.7,360.7,2369.4,49.6
Brecksville Police Dept,OH,12,13554,4,0,0,0,4,84,8,75,1,29.5,0,0,0,29.5,619.7,59,553.3,7.4
Brimfield Twp Police Dept,OH,12,10390,14,0,5,4,5,262,31,225,6,134.7,0,48.1,38.5,48.1,2521.7,298.4,2165.5,57.7
Broadview Heights Police Dept,OH,12,19246,4,0,0,0,4,16,5,9,2,20.8,0,0,0,20.8,83.1,26,46.8,10.4
Brook Park Police Dept,OH,12,19062,10,0,3,2,5,133,33,66,34,52.5,0,15.7,10.5,26.2,697.7,173.1,346.2,178.4
Brooklyn Police Dept,OH,12,11081,35,2,5,15,13,628,77,483,68,315.9,18,45.1,135.4,117.3,5667.4,694.9,4358.8,613.7
Brown County Sheriff Office,OH,12,,2,0,0,1,1,198,72,122,4,,,,,,,,,
Brunswick Police Dept,OH,10,34439,75,0,0,5,70,295,47,236,12,,,,,,,,,
Butler County Sheriff Office,OH,12,,314,1,6,11,296,990,308,679,3,,,,,,,,,
Cambridge Police Dept,OH,12,10592,62,1,8,13,40,673,213,436,24,585.3,9.4,75.5,122.7,377.6,6353.9,2011,4116.3,226.6
Canton Police Dept,OH,12,72914,729,10,64,414,241,4722,1590,2671,461,999.8,13.7,87.8,567.8,330.5,6476.1,2180.7,3663.2,632.3
Celina City Police Dept,OH,11,10405,7,0,4,0,3,383,64,313,6,,,,,,,,,
Centerville Police Dept,OH,12,24107,19,0,2,5,12,437,40,388,9,78.8,0,8.3,20.7,49.8,1812.8,165.9,1609.5,37.3
Chillicothe Police Dept,OH,12,21954,101,0,11,26,64,2120,465,1608,47,460.1,0,50.1,118.4,291.5,9656.6,2118.1,7324.4,214.1
Cincinnati Police Dept,OH,12,296204,2887,46,188,1725,928,18173,5483,11590,1100,974.7,15.5,63.5,582.4,313.3,6135.3,1851.1,3912.8,371.4
Circleville Police Dept,OH,12,13388,31,1,6,14,10,920,196,712,12,231.6,7.5,44.8,104.6,74.7,6871.8,1464,5318.2,89.6
Clark County Sheriff Department,OH,12,,28,0,7,2,19,1118,280,803,35,,,,,,,,,
Randolph Twp Police Dept,OH,12,13268,9,0,2,5,2,214,52,144,18,67.8,0,15.1,37.7,15.1,1612.9,391.9,1085.3,135.7
Clear Creek Twp (Warren Co) Police Dept,OH,12,14224,1,0,0,0,1,110,26,84,0,7,0,0,0,7,773.3,182.8,590.6,0
Clermont County Sheriff Office,OH,12,,64,0,11,3,50,1773,686,1041,46,,,,,,,,,
Cleveland,OH,12,393781,5449,84,363,3252,1750,24309,9740,10808,3761,1383.8,21.3,92.2,825.8,444.4,6173.2,2473.5,2744.7,955.1
Cleveland Heights Police Dept,OH,12,45761,168,0,10,110,48,1648,305,1267,76,367.1,0,21.9,240.4,104.9,3601.3,666.5,2768.7,166.1
Columbiana County Sheriff Office,OH,12,,14,1,1,1,11,79,61,15,3,,,,,,,,,
Columbus Police Dept,OH,7,797384,2341,32,255,1473,581,18713,6846,10232,1635,,,,,,,,,
Conneaut Police Dept,OH,12,12823,21,0,0,6,15,340,121,216,3,163.8,0,0,46.8,117,2651.5,943.6,1684.5,23.4
Coshocton County Sheriff Department,OH,12,,19,0,0,5,14,895,294,590,11,,,,,,,,,
Cuyahoga Falls City Police Dept,OH,12,49470,65,0,17,13,35,1274,230,984,60,131.4,0,34.4,26.3,70.7,2575.3,464.9,1989.1,121.3
Darke County Sheriff Department,OH,12,,13,0,2,3,8,461,151,293,17,,,,,,,,,
Dayton,OH,12,142139,1384,24,112,633,615,8385,3043,4649,693,973.7,16.9,78.8,445.3,432.7,5899.2,2140.9,3270.7,487.6
Defiance City Police Dept,OH,12,16621,26,0,12,4,10,616,102,508,6,156.4,0,72.2,24.1,60.2,3706.2,613.7,3056.4,36.1
Delaware City Police Dept,OH,12,35539,53,0,17,23,13,1062,189,834,39,149.1,0,47.8,64.7,36.6,2988.3,531.8,2346.7,109.7
Delaware County Sheriff Office,OH,12,,25,1,8,3,13,1184,375,796,13,,,,,,,,,
Delhi Twp Police Dept,OH,12,29433,13,0,3,6,4,636,94,524,18,44.2,0,10.2,20.4,13.6,2160.8,319.4,1780.3,61.2
Dover Police Dept,OH,6,12815,3,0,1,0,2,23,5,17,1,,,,,,,,,
Dublin Police Dept,OH,12,42343,15,1,1,8,5,544,96,439,9,35.4,2.4,2.4,18.9,11.8,1284.7,226.7,1036.8,21.3
East Cleveland Police Dept,OH,12,17704,88,0,4,0,84,14,1,4,9,497.1,0,22.6,0,474.5,79.1,5.6,22.6,50.8
East Liverpool Police Dept,OH,10,11198,9,0,3,3,3,423,122,290,11,,,,,,,,,
Eastlake Police Dept,OH,12,18564,23,0,1,13,9,495,48,428,19,123.9,0,5.4,70,48.5,2666.5,258.6,2305.5,102.3
Elyria Police Dept,OH,3,54578,0,0,0,0,0,0,0,0,0,,,,,,,,,
Englewood Police Dept,OH,12,13526,9,0,2,5,2,384,37,336,11,66.5,0,14.8,37,14.8,2839,273.5,2484.1,81.3
Euclid Police Dept,OH,10,48538,92,0,12,34,46,1140,511,550,79,,,,,,,,,
Fairborn Police Dept,OH,5,32618,15,0,2,4,9,390,105,267,18,,,,,,,,,
Fairfield City Police Dept,OH,12,42727,146,4,7,28,107,1338,194,1102,42,341.7,9.4,16.4,65.5,250.4,3131.5,454,2579.2,98.3
Fairfield County Sheriff Office,OH,12,,26,0,9,10,7,928,222,684,22,,,,,,,,,
Fairfield Twp (Butler Co) Police Dept,OH,12,21484,19,0,2,4,13,935,155,768,12,88.4,0,9.3,18.6,60.5,4352.1,721.5,3574.8,55.9
Findlay Police Dept,OH,2,41348,0,0,0,0,0,0,0,0,0,,,,,,,,,
Forest Park Police Dept,OH,12,18672,28,1,4,23,0,476,110,343,23,150,5.4,21.4,123.2,0,2549.3,589.1,1837,123.2
Franklin County Sheriff Department,OH,12,,120,2,6,61,51,1419,410,925,84,,,,,,,,,
Fremont Police Dept,OH,12,16676,27,0,1,12,14,1096,177,901,18,161.9,0,6,72,84,6572.3,1061.4,5403,107.9
Gahanna Police Dept,OH,12,33692,22,1,8,5,8,822,124,677,21,65.3,3,23.7,14.8,23.7,2439.7,368,2009.4,62.3
Galion City Police Dept,OH,12,10415,11,0,2,3,6,621,150,464,7,105.6,0,19.2,28.8,57.6,5962.6,1440.2,4455.1,67.2
Gallia County Sheriff Office,OH,12,,17,2,3,7,5,610,248,345,17,,,,,,,,,
Garfield Heights Police Dept,OH,12,28623,78,6,9,33,30,1040,303,666,71,272.5,21,31.4,115.3,104.8,3633.4,1058.6,2326.8,248.1
Geauga County Sheriff Department,OH,12,,18,0,5,4,9,325,105,209,11,,,,,,,,,
Genoa Twp Police Dept,OH,12,23643,2,0,0,0,2,198,35,158,5,8.5,0,0,0,8.5,837.5,148,668.3,21.1
Goshen Twp (Clermont Co) Police Dept,OH,12,15644,6,0,5,0,1,318,70,241,7,38.4,0,32,0,6.4,2032.7,447.5,1540.5,44.7
Greene County Sheriff Department,OH,12,,25,1,12,4,8,477,181,267,29,,,,,,,,,
Greenville Police Dept,OH,12,13188,54,0,3,9,42,580,171,393,16,409.5,0,22.7,68.2,318.5,4397.9,1296.6,2980,121.3
Grove City Police Dept,OH,12,36050,37,1,12,20,4,1354,188,1127,39,102.6,2.8,33.3,55.5,11.1,3755.9,521.5,3126.2,108.2
Guernsey County Sheriff Department,OH,12,,6,2,1,3,0,189,73,107,9,,,,,,,,,
Hamilton City Police Dept,OH,12,62791,372,3,89,157,123,4713,1289,3218,206,592.4,4.8,141.7,250,195.9,7505.9,2052.8,5124.9,328.1
Hamilton County Sheriff Department,OH,12,,275,4,54,136,81,5771,1168,4342,261,,,,,,,,,
Hamilton Twp Police Dept,OH,12,21033,12,0,2,1,9,242,37,200,5,57.1,0,9.5,4.8,42.8,1150.6,175.9,950.9,23.8
Hancock County Sheriff Office,OH,12,,4,0,1,0,3,248,90,151,7,,,,,,,,,
Heath City Police Dept,OH,6,10356,6,0,2,1,3,118,16,102,0,,,,,,,,,
Highland County Sheriff Department,OH,12,,44,0,3,0,41,614,227,354,33,,,,,,,,,
Hilliard Police Dept,OH,12,28814,20,0,1,15,4,763,148,584,31,69.4,0,3.5,52.1,13.9,2648,513.6,2026.8,107.6
Holmes County Sheriff Department,OH,12,,4,0,2,2,0,230,61,156,13,,,,,,,,,
Howland Twp Police Dept,OH,12,17239,12,0,2,5,5,423,88,322,13,69.6,0,11.6,29,29,2453.7,510.5,1867.9,75.4
Huber Heights Police Dept,OH,12,38276,30,0,2,11,17,887,103,757,27,78.4,0,5.2,28.7,44.4,2317.4,269.1,1977.7,70.5
Hudson City Police Dept,OH,12,22181,2,0,0,2,0,142,23,119,0,9,0,0,9,0,640.2,103.7,536.5,0
Jackson Township,OH,11,40317,45,0,3,21,21,835,128,683,24,,,,,,,,,
Kent Police Dept,OH,12,28933,62,0,7,18,37,636,168,450,18,214.3,0,24.2,62.2,127.9,2198.2,580.7,1555.3,62.2
Kettering Police Dept,OH,12,56423,50,0,22,20,8,1291,317,935,39,88.6,0,39,35.4,14.2,2288.1,561.8,1657.1,69.1
Knox County Sheriff Department,OH,10,,12,1,2,2,7,229,74,155,0,,,,,,,,,
Lake County Sheriff Office,OH,12,,208,0,21,5,182,350,111,228,11,,,,,,,,,
Lakewood Police Dept,OH,12,51721,64,3,3,34,24,1025,244,680,101,123.7,5.8,5.8,65.7,46.4,1981.8,471.8,1314.7,195.3
Lancaster Police Dept,OH,1,39024,0,0,0,0,0,0,0,0,0,,,,,,,,,
Lawrence County Sheriff Department,OH,12,,86,1,8,11,66,1080,309,708,63,,,,,,,,,
Lebanon Police Dept,OH,12,20241,19,0,12,3,4,451,51,389,11,93.9,0,59.3,14.8,19.8,2228.2,252,1921.8,54.3
Liberty Twp Police Dept,OH,12,12002,24,0,2,9,13,212,58,135,19,200,0,16.7,75,108.3,1766.4,483.3,1124.8,158.3
Licking County Sheriff Office,OH,12,,407,0,51,13,343,1242,389,817,36,,,,,,,,,
Lima Police Dept,OH,12,38691,466,6,51,101,308,2080,618,1382,80,1204.4,15.5,131.8,261,796.1,5375.9,1597.3,3571.9,206.8
Logan County Sheriff Office,OH,12,,10,0,4,0,6,555,238,301,16,,,,,,,,,
Lorain County Sheriff Office,OH,12,,33,1,8,17,7,1169,596,539,34,,,,,,,,,
Lorain Police Dept,OH,12,64148,325,4,34,136,151,3233,1246,1869,118,506.6,6.2,53,212,235.4,5039.9,1942.4,2913.6,183.9
Loveland Police Dept,OH,12,12081,2,0,1,0,1,126,23,101,2,16.6,0,8.3,0,8.3,1043,190.4,836,16.6
Lucas County Sheriff Department,OH,12,,82,0,4,22,56,1331,394,855,82,,,,,,,,,
Lyndhurst Police Dept,OH,12,13892,1,0,1,0,0,0,0,0,0,7.2,0,7.2,0,0,0,0,0,0
Madison County Sheriff Office,OH,12,,13,0,3,2,8,472,180,271,21,,,,,,,,,
Madison Twp (Franklin Co) Police Dept,OH,12,18270,15,0,0,7,8,283,118,158,7,82.1,0,0,38.3,43.8,1549,645.9,864.8,38.3
Madison Twp (Lake Co) Police Dept,OH,11,15688,22,0,0,0,22,11,3,8,0,,,,,,,,,
Mansfield Police Dept,OH,12,47480,178,1,27,93,57,3205,1016,2104,85,374.9,2.1,56.9,195.9,120.1,6750.2,2139.8,4431.3,179
Marietta Police Dept,OH,12,14079,9,0,0,4,5,208,22,177,9,63.9,0,0,28.4,35.5,1477.4,156.3,1257.2,63.9
Marion City Police Dept,OH,12,36687,97,2,14,48,33,1893,851,997,45,264.4,5.5,38.2,130.8,90,5159.9,2319.6,2717.6,122.7
Marion County Sheriff Office,OH,12,,34,0,6,20,8,1427,409,1009,9,,,,,,,,,
